Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-18 08:25:19.867444
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 9.35e-05
lr_t: 8.7e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 54

PR_AUC: 0.3073
ROC_AUC: 0.7665
F1: 0.4207
PRECISION: 0.4124
RECALL: 0.4294
ACCURACY: 0.9421
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-18 08:29:30.964776
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001093
lr_t: 8.7e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 55

PR_AUC: 0.3812
ROC_AUC: 0.7617
F1: 0.2667
PRECISION: 0.1728
RECALL: 0.5845
ACCURACY: 0.8426
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-18 08:35:10.524801
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001494
lr_t: 8.7e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 57

PR_AUC: 0.3150
ROC_AUC: 0.7545
F1: 0.2584
PRECISION: 0.1680
RECALL: 0.5595
ACCURACY: 0.8428
THRESHOLD: 0.9899
---------------------------------------------
Timestamp: 2025-05-18 08:47:28.620771
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 8e-05
lr_t: 8.7e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 53

PR_AUC: 0.5226
ROC_AUC: 0.7817
F1: 0.5630
PRECISION: 0.7354
RECALL: 0.4561
ACCURACY: 0.9653
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-18 08:48:01.454720
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 5e-05
lr_t: 5.47e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 20

PR_AUC: 0.5290
ROC_AUC: 0.7802
F1: 0.5759
PRECISION: 0.7764
RECALL: 0.4577
ACCURACY: 0.9670
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-18 08:48:23.223472
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 9.35e-05
lr_t: 5.47e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 24

PR_AUC: 0.5363
ROC_AUC: 0.7846
F1: 0.5841
PRECISION: 0.7805
RECALL: 0.4666
ACCURACY: 0.9675
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-18 08:48:24.674851
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 5.85e-05
lr_t: 5.47e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 21

PR_AUC: 0.5234
ROC_AUC: 0.7803
F1: 0.5618
PRECISION: 0.6922
RECALL: 0.4727
ACCURACY: 0.9639
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-18 08:48:34.184226
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 6.84e-05
lr_t: 5.47e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 22

PR_AUC: 0.5099
ROC_AUC: 0.7757
F1: 0.5553
PRECISION: 0.7416
RECALL: 0.4438
ACCURACY: 0.9652
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-18 08:49:40.752705
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 8e-05
lr_t: 5.47e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 23

PR_AUC: 0.5054
ROC_AUC: 0.7802
F1: 0.5544
PRECISION: 0.6901
RECALL: 0.4633
ACCURACY: 0.9635
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-18 08:50:12.328770
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001278
lr_t: 5.47e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
