Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-15 09:21:30.894872
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 6.84e-05
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 2

PR_AUC: 0.4939
ROC_AUC: 0.7814
F1: 0.5463
PRECISION: 0.6737
RECALL: 0.4594
ACCURACY: 0.9626
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:22:17.814591
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 5.85e-05
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 1

PR_AUC: 0.5249
ROC_AUC: 0.7804
F1: 0.5654
PRECISION: 0.7240
RECALL: 0.4638
ACCURACY: 0.9651
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:22:27.892373
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001494
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 7

PR_AUC: 0.5270
ROC_AUC: 0.7822
F1: 0.5706
PRECISION: 0.7471
RECALL: 0.4616
ACCURACY: 0.9660
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:23:09.538887
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001746
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 8

PR_AUC: 0.5300
ROC_AUC: 0.7810
F1: 0.5732
PRECISION: 0.7651
RECALL: 0.4583
ACCURACY: 0.9666
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:28:20.118250
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001278
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 6

PR_AUC: 0.5367
ROC_AUC: 0.7808
F1: 0.5792
PRECISION: 0.7634
RECALL: 0.4666
ACCURACY: 0.9668
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:50:53.008531
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 9

PR_AUC: 0.5151
ROC_AUC: 0.7807
F1: 0.5738
PRECISION: 0.7580
RECALL: 0.4616
ACCURACY: 0.9664
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:51:26.783770
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 6.84e-05
lr_t: 4.68e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 12

PR_AUC: 0.5291
ROC_AUC: 0.7806
F1: 0.5727
PRECISION: 0.7744
RECALL: 0.4544
ACCURACY: 0.9668
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 09:51:43.934199
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 5e-05
lr_t: 4.68e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 10

PR_AUC: 0.4266
ROC_AUC: 0.7757
F1: 0.4823
PRECISION: 0.5102
RECALL: 0.4572
ACCURACY: 0.9519
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 10:01:16.906674
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001093
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 5

PR_AUC: 0.4689
ROC_AUC: 0.7808
F1: 0.5420
PRECISION: 0.6801
RECALL: 0.4505
ACCURACY: 0.9627
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-15 10:02:52.120382
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 9.35e-05
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
