Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-12 00:11:29.467514
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 312

PR_AUC: 0.5205
ROC_AUC: 0.7806
F1: 0.5638
PRECISION: 0.7032
RECALL: 0.4705
ACCURACY: 0.9644
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 00:18:30.245793
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 318

PR_AUC: 0.5301
ROC_AUC: 0.7807
F1: 0.5773
PRECISION: 0.7230
RECALL: 0.4805
ACCURACY: 0.9656
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 00:18:45.518617
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 314

PR_AUC: 0.9021
ROC_AUC: 0.9949
F1: 0.8624
PRECISION: 0.8638
RECALL: 0.8610
ACCURACY: 0.9865
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-12 00:21:36.580292
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 315

PR_AUC: 0.5189
ROC_AUC: 0.7775
F1: 0.5605
PRECISION: 0.6745
RECALL: 0.4794
ACCURACY: 0.9632
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-12 00:23:22.752722
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 316

PR_AUC: 0.7672
ROC_AUC: 0.9174
F1: 0.7632
PRECISION: 0.8277
RECALL: 0.7080
ACCURACY: 0.9785
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 00:24:50.800696
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 313

PR_AUC: 0.7464
ROC_AUC: 0.9159
F1: 0.7367
PRECISION: 0.7792
RECALL: 0.6986
ACCURACY: 0.9755
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 00:25:50.852528
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 317

PR_AUC: 0.8971
ROC_AUC: 0.9939
F1: 0.8598
PRECISION: 0.8437
RECALL: 0.8765
ACCURACY: 0.9860
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-12 00:30:25.564658
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 319

PR_AUC: 0.7683
ROC_AUC: 0.9178
F1: 0.7638
PRECISION: 0.8270
RECALL: 0.7097
ACCURACY: 0.9785
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 00:48:35.356243
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 322

PR_AUC: 0.7429
ROC_AUC: 0.9164
F1: 0.7396
PRECISION: 0.7922
RECALL: 0.6935
ACCURACY: 0.9761
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-12 00:58:47.897203
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
