Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-09 00:01:59.325009
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 608

PR_AUC: 0.9054
ROC_AUC: 0.9950
F1: 0.8625
PRECISION: 0.8221
RECALL: 0.9071
ACCURACY: 0.9858
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-09 00:07:05.932358
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 609

PR_AUC: 0.5308
ROC_AUC: 0.7789
F1: 0.5799
PRECISION: 0.7485
RECALL: 0.4733
ACCURACY: 0.9664
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-09 00:08:37.484101
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 610

PR_AUC: 0.7590
ROC_AUC: 0.9165
F1: 0.7480
PRECISION: 0.8211
RECALL: 0.6869
ACCURACY: 0.9773
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-09 00:23:40.211269
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 611

PR_AUC: 0.9075
ROC_AUC: 0.9948
F1: 0.8679
PRECISION: 0.8209
RECALL: 0.9205
ACCURACY: 0.9863
THRESHOLD: 0.9394
---------------------------------------------
Timestamp: 2025-05-09 00:27:35.649516
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 607

PR_AUC: 0.7731
ROC_AUC: 0.9168
F1: 0.7698
PRECISION: 0.8547
RECALL: 0.7002
ACCURACY: 0.9795
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-09 00:33:23.822850
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 612

PR_AUC: 0.5179
ROC_AUC: 0.7801
F1: 0.5612
PRECISION: 0.7781
RECALL: 0.4388
ACCURACY: 0.9664
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-09 00:35:58.993621
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 613

PR_AUC: 0.7775
ROC_AUC: 0.9190
F1: 0.7706
PRECISION: 0.8661
RECALL: 0.6941
ACCURACY: 0.9798
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-09 00:42:05.151701
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 4
task: test
checkpoint_idx: 615

PR_AUC: 0.5067
ROC_AUC: 0.7770
F1: 0.5530
PRECISION: 0.7441
RECALL: 0.4399
ACCURACY: 0.9652
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-09 00:43:14.676853
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 614

PR_AUC: 0.9056
ROC_AUC: 0.9949
F1: 0.8578
PRECISION: 0.8741
RECALL: 0.8420
ACCURACY: 0.9863
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-09 01:01:00.940373
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 30
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
