Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-08 15:01:56.117872
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 2

PR_AUC: 0.9066
ROC_AUC: 0.9949
F1: 0.8582
PRECISION: 0.8184
RECALL: 0.9021
ACCURACY: 0.9854
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 15:02:28.660776
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 4

PR_AUC: 0.7768
ROC_AUC: 0.9168
F1: 0.7672
PRECISION: 0.8593
RECALL: 0.6930
ACCURACY: 0.9794
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-08 15:10:01.515561
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 0

PR_AUC: 0.5401
ROC_AUC: 0.7833
F1: 0.5878
PRECISION: 0.7971
RECALL: 0.4655
ACCURACY: 0.9680
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 15:10:07.063358
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 1

PR_AUC: 0.7466
ROC_AUC: 0.9163
F1: 0.7443
PRECISION: 0.8511
RECALL: 0.6613
ACCURACY: 0.9778
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 15:11:31.998442
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 3

PR_AUC: 0.4879
ROC_AUC: 0.7794
F1: 0.5446
PRECISION: 0.6495
RECALL: 0.4689
ACCURACY: 0.9616
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 15:34:25.603531
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 5

PR_AUC: 0.9028
ROC_AUC: 0.9951
F1: 0.8621
PRECISION: 0.8086
RECALL: 0.9232
ACCURACY: 0.9855
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-08 17:22:49.121559
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 7

PR_AUC: 0.7503
ROC_AUC: 0.9178
F1: 0.7367
PRECISION: 0.8205
RECALL: 0.6685
ACCURACY: 0.9766
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-08 17:23:13.927446
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 8

PR_AUC: 0.9044
ROC_AUC: 0.9949
F1: 0.8733
PRECISION: 0.8706
RECALL: 0.8760
ACCURACY: 0.9876
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-08 17:23:32.904176
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 6

PR_AUC: 0.5067
ROC_AUC: 0.7772
F1: 0.5452
PRECISION: 0.6338
RECALL: 0.4783
ACCURACY: 0.9609
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-08 17:34:00.650819
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
