Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-11 08:08:26.413687
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 119

PR_AUC: 0.9044
ROC_AUC: 0.9951
F1: 0.8641
PRECISION: 0.8468
RECALL: 0.8821
ACCURACY: 0.9864
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-11 08:08:38.389747
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 120

PR_AUC: 0.4905
ROC_AUC: 0.7795
F1: 0.5436
PRECISION: 0.6877
RECALL: 0.4494
ACCURACY: 0.9630
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-11 08:09:59.089206
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 125

PR_AUC: 0.9080
ROC_AUC: 0.9954
F1: 0.8681
PRECISION: 0.8380
RECALL: 0.9004
ACCURACY: 0.9866
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-11 08:10:51.572363
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 124

PR_AUC: 0.7565
ROC_AUC: 0.9140
F1: 0.7417
PRECISION: 0.8269
RECALL: 0.6724
ACCURACY: 0.9771
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-11 08:11:27.730669
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 126

PR_AUC: 0.5305
ROC_AUC: 0.7810
F1: 0.5719
PRECISION: 0.7747
RECALL: 0.4533
ACCURACY: 0.9668
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-11 08:11:47.189692
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 123

PR_AUC: 0.5285
ROC_AUC: 0.7810
F1: 0.5738
PRECISION: 0.8328
RECALL: 0.4377
ACCURACY: 0.9682
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-11 08:12:05.147137
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 122

PR_AUC: 0.9066
ROC_AUC: 0.9952
F1: 0.8605
PRECISION: 0.8703
RECALL: 0.8509
ACCURACY: 0.9865
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-11 08:13:28.452188
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 121

PR_AUC: 0.7687
ROC_AUC: 0.9179
F1: 0.7655
PRECISION: 0.8161
RECALL: 0.7208
ACCURACY: 0.9784
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-11 08:36:49.264288
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 127

PR_AUC: 0.7754
ROC_AUC: 0.9203
F1: 0.7688
PRECISION: 0.8280
RECALL: 0.7175
ACCURACY: 0.9789
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-11 08:38:48.689234
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
