Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-10 10:04:36.589194
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 81

PR_AUC: 0.4952
ROC_AUC: 0.7770
F1: 0.5478
PRECISION: 0.6934
RECALL: 0.4527
ACCURACY: 0.9634
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-10 10:04:51.484581
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 79

PR_AUC: 0.7466
ROC_AUC: 0.9154
F1: 0.7336
PRECISION: 0.7512
RECALL: 0.7169
ACCURACY: 0.9745
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-10 10:04:53.558354
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 80

PR_AUC: 0.8968
ROC_AUC: 0.9944
F1: 0.8599
PRECISION: 0.8545
RECALL: 0.8654
ACCURACY: 0.9862
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-10 10:06:26.795223
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 84

PR_AUC: 0.4846
ROC_AUC: 0.7802
F1: 0.5518
PRECISION: 0.7050
RECALL: 0.4533
ACCURACY: 0.9639
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-10 10:07:08.007149
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 4
task: test
checkpoint_idx: 85

PR_AUC: 0.7533
ROC_AUC: 0.9160
F1: 0.7479
PRECISION: 0.8425
RECALL: 0.6724
ACCURACY: 0.9778
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-10 10:07:09.744489
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 83

PR_AUC: 0.8982
ROC_AUC: 0.9945
F1: 0.8566
PRECISION: 0.8646
RECALL: 0.8487
ACCURACY: 0.9861
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-10 10:08:03.227203
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 2
task: test
checkpoint_idx: 82

PR_AUC: 0.7635
ROC_AUC: 0.9177
F1: 0.7563
PRECISION: 0.8506
RECALL: 0.6808
ACCURACY: 0.9785
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-10 10:19:01.501774
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0004
lr_t: 4e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 6
task: test
checkpoint_idx: 78

PR_AUC: 0.5082
ROC_AUC: 0.7752
F1: 0.5485
PRECISION: 0.6781
RECALL: 0.4605
ACCURACY: 0.9629
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-10 10:32:30.864129
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 101

PR_AUC: 0.9120
ROC_AUC: 0.9956
F1: 0.8615
PRECISION: 0.8931
RECALL: 0.8320
ACCURACY: 0.9869
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-10 10:33:59.925992
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
