Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-13 00:00:30.451577
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 364

PR_AUC: 0.7766
ROC_AUC: 0.9192
F1: 0.7776
PRECISION: 0.8583
RECALL: 0.7108
ACCURACY: 0.9801
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-13 00:01:48.215282
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 362

PR_AUC: 0.9065
ROC_AUC: 0.9952
F1: 0.8648
PRECISION: 0.8876
RECALL: 0.8432
ACCURACY: 0.9871
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-13 00:02:05.700855
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 365

PR_AUC: 0.9069
ROC_AUC: 0.9951
F1: 0.8680
PRECISION: 0.8482
RECALL: 0.8888
ACCURACY: 0.9868
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-13 00:03:32.774228
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 359

PR_AUC: 0.9017
ROC_AUC: 0.9946
F1: 0.8624
PRECISION: 0.8357
RECALL: 0.8910
ACCURACY: 0.9861
THRESHOLD: 0.9394
---------------------------------------------
Timestamp: 2025-05-13 00:05:07.706641
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 2
task: test
checkpoint_idx: 360

PR_AUC: 0.5130
ROC_AUC: 0.7773
F1: 0.5588
PRECISION: 0.6963
RECALL: 0.4666
ACCURACY: 0.9639
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-13 00:06:41.612551
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 1
s2_size: 6
task: test
checkpoint_idx: 358

PR_AUC: 0.7758
ROC_AUC: 0.9174
F1: 0.7696
PRECISION: 0.8500
RECALL: 0.7030
ACCURACY: 0.9794
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-13 00:06:55.529297
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 6
task: test
checkpoint_idx: 368

PR_AUC: 0.9072
ROC_AUC: 0.9950
F1: 0.8647
PRECISION: 0.8569
RECALL: 0.8726
ACCURACY: 0.9866
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-13 00:17:33.760179
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.5
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 2
s2_size: 4
task: test
checkpoint_idx: 363

PR_AUC: 0.4649
ROC_AUC: 0.7819
F1: 0.5476
PRECISION: 0.7091
RECALL: 0.4461
ACCURACY: 0.9639
THRESHOLD: 0.9798
---------------------------------------------
Timestamp: 2025-05-13 00:34:59.603005
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 371

PR_AUC: 0.9059
ROC_AUC: 0.9952
F1: 0.8568
PRECISION: 0.8118
RECALL: 0.9071
ACCURACY: 0.9852
THRESHOLD: 0.9495
---------------------------------------------
Timestamp: 2025-05-13 00:36:52.829044
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 20
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 8e-05
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 1.0
device: cuda
dataset: porto
update_mode: pretrain
