Results Log
===========
Timestamp, Batch Size, Embedding Size, Hidden Size, N Cluster, Pretrain LR S, Pretrain LR T, LR S, LR T, Epochs, Pretrain Epochs, Ratio, Distance, Fraction, Observed Ratio, Device, Dataset, Update Mode, Train Num, S1 Size, S2 Size, Task, AUC, Precision, Recall, F1, Accuracy
====================================================================================================
Timestamp: 2025-05-23 09:23:05.407921
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0002
lr_t: 0.0001183
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 79

PR_AUC: 0.7722
ROC_AUC: 0.9198
F1: 0.7607
PRECISION: 0.8102
RECALL: 0.7169
ACCURACY: 0.9779
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-23 09:23:12.110192
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 5.85e-05
lr_t: 0.0001378
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 81

PR_AUC: 0.7668
ROC_AUC: 0.9169
F1: 0.7565
PRECISION: 0.8512
RECALL: 0.6808
ACCURACY: 0.9785
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-23 09:23:29.242002
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001494
lr_t: 0.0001183
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 77

PR_AUC: 0.7728
ROC_AUC: 0.9200
F1: 0.7670
PRECISION: 0.8810
RECALL: 0.6791
ACCURACY: 0.9798
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-23 09:23:29.285348
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001093
lr_t: 0.0001183
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 75

PR_AUC: 0.7731
ROC_AUC: 0.9195
F1: 0.7659
PRECISION: 0.8244
RECALL: 0.7152
ACCURACY: 0.9786
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-23 09:23:46.988189
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 9.35e-05
lr_t: 0.0001183
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 74

PR_AUC: 0.7730
ROC_AUC: 0.9174
F1: 0.7680
PRECISION: 0.8771
RECALL: 0.6830
ACCURACY: 0.9798
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-23 09:23:51.148448
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 5e-05
lr_t: 0.0001378
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 80

PR_AUC: 0.7717
ROC_AUC: 0.9201
F1: 0.7639
PRECISION: 0.8639
RECALL: 0.6846
ACCURACY: 0.9793
THRESHOLD: 0.9697
---------------------------------------------
Timestamp: 2025-05-23 09:24:16.898776
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001278
lr_t: 0.0001183
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 76

PR_AUC: 0.7747
ROC_AUC: 0.9180
F1: 0.7700
PRECISION: 0.8102
RECALL: 0.7336
ACCURACY: 0.9785
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-23 09:25:23.897556
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001746
lr_t: 0.0001183
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 78

PR_AUC: 0.7737
ROC_AUC: 0.9204
F1: 0.7647
PRECISION: 0.8093
RECALL: 0.7247
ACCURACY: 0.9782
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-23 09:51:21.883782
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 0.0001746
lr_t: 0.0001378
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
dataset: porto
update_mode: pretrain
train_num: 80000
s1_size: 3
s2_size: 2
task: test
checkpoint_idx: 88

PR_AUC: 0.7757
ROC_AUC: 0.9188
F1: 0.7624
PRECISION: 0.8134
RECALL: 0.7175
ACCURACY: 0.9781
THRESHOLD: 0.9596
---------------------------------------------
Timestamp: 2025-05-23 09:56:19.186592
batch_size: 800
embedding_size: 128
hidden_size: 512
n_cluster: 10
pretrain_lr_s: 0.002
pretrain_lr_t: 0.002
lr_s: 6.84e-05
lr_t: 0.0001378
epochs: 5
pretrain_epochs: 6
ratio: 0.05
distance: 2
fraction: 0.2
obeserved_ratio: 0.7
device: cuda
